Date,Open,High,Low,Close,Adj Close,Volume
2019-01-29,39.062500,39.532501,38.527500,38.669998,37.437187,166348800
2019-01-30,40.812500,41.537498,40.057499,41.312500,39.995445,244439200
2019-01-31,41.527500,42.250000,41.139999,41.610001,40.283463,162958400
2019-02-01,41.740002,42.244999,41.482498,41.630001,40.302822,130672400
2019-02-04,41.852501,42.915001,41.820000,42.812500,41.447628,125982000
2019-02-05,43.215000,43.770000,43.087502,43.544998,42.156769,144406400
2019-02-06,43.662498,43.892502,43.212502,43.560001,42.171295,112958400
2019-02-07,43.099998,43.485001,42.584999,42.735001,41.372593,126966800
2019-02-08,42.247501,42.665001,42.105000,42.602501,41.421204,95280000
2019-02-11,42.762501,42.802502,42.312500,42.357498,41.183006,83973600
2019-02-12,42.525002,42.750000,42.424999,42.722500,41.537884,89134000
2019-02-13,42.847500,43.119999,42.480000,42.544998,41.365307,89960800
2019-02-14,42.427502,42.814999,42.345001,42.700001,41.516006,87342800
2019-02-15,42.812500,42.924999,42.437500,42.605000,41.423637,98507200
2019-02-19,42.427502,42.860001,42.372501,42.732498,41.547600,75891200
2019-02-20,42.797501,43.330002,42.747501,43.007500,41.814980,104457600
2019-02-21,42.950001,43.092499,42.575001,42.764999,41.579208,68998800
2019-02-22,42.895000,43.250000,42.845001,43.242500,42.043465,75652800
2019-02-25,43.540001,43.967499,43.487499,43.557499,42.349728,87493600
2019-02-26,43.427502,43.825001,43.292500,43.582500,42.374035,68280800
2019-02-27,43.302502,43.750000,43.182499,43.717499,42.505291,111341600
2019-02-28,43.580002,43.727501,43.230000,43.287498,42.087219,112861600
2019-03-01,43.570000,43.787498,43.222500,43.742500,42.529598,103544800
2019-03-04,43.922501,44.437500,43.492500,43.962502,42.743504,109744800
2019-03-05,43.985001,44.000000,43.634998,43.882500,42.665726,78949600
2019-03-06,43.667500,43.872501,43.485001,43.630001,42.420219,83241600
2019-03-07,43.467499,43.610001,43.005001,43.125000,41.929226,99185600
2019-03-08,42.580002,43.267502,42.375000,43.227501,42.028877,95997600
2019-03-11,43.872501,44.779999,43.837502,44.724998,43.484856,128044000
2019-03-12,45.000000,45.667500,44.842499,45.227501,43.973419,129870400
2019-03-13,45.562500,45.825001,45.230000,45.427502,44.167881,124130000
2019-03-14,45.974998,46.025002,45.639999,45.932499,44.658875,94318000
2019-03-15,46.212502,46.832500,45.935001,46.529999,45.239803,156171600
2019-03-18,46.450001,47.097500,46.447498,47.005001,45.701637,104879200
2019-03-19,47.087502,47.247501,46.480000,46.632500,45.339462,126585600
2019-03-20,46.557499,47.372501,46.182499,47.040001,45.735668,124140800
2019-03-21,47.505001,49.082500,47.452499,48.772499,47.420124,204136800
2019-03-22,48.834999,49.422501,47.695000,47.762501,46.438129,169630800
2019-03-25,47.877499,47.994999,46.650002,47.185001,45.876644,175381200
2019-03-26,47.915001,48.220001,46.145000,46.697498,45.402664,199202000
2019-03-27,47.187500,47.439999,46.637501,47.117500,45.811012,119393600
2019-03-28,47.237499,47.389999,46.882500,47.180000,45.871788,83121600
2019-03-29,47.457500,47.520000,47.134998,47.487499,46.170750,94256000
2019-04-01,47.910000,47.919998,47.095001,47.810001,46.484314,111448000
2019-04-02,47.772499,48.615002,47.762501,48.505001,47.160042,91062800
2019-04-03,48.312500,49.125000,48.287498,48.837502,47.483326,93087200
2019-04-04,48.697498,49.092499,48.285000,48.922501,47.565968,76457200
2019-04-05,49.112499,49.275002,48.982498,49.250000,47.884392,74106400
2019-04-08,49.105000,50.057499,49.084999,50.025002,48.637897,103526800
2019-04-09,50.080002,50.712502,49.807499,49.875000,48.492062,143072800
2019-04-10,49.669998,50.185001,49.544998,50.154999,48.764290,86781200
2019-04-11,50.212502,50.250000,49.610001,49.737499,48.358364,83603200
2019-04-12,49.799999,50.035000,49.052502,49.717499,48.338917,111042800
2019-04-15,49.645000,49.962502,49.502499,49.807499,48.426426,70146400
2019-04-16,49.865002,50.342499,49.639999,49.812500,48.431286,102785600
2019-04-17,49.884998,50.845001,49.652500,50.782501,49.374397,115627200
2019-04-18,50.779999,51.037498,50.630001,50.965000,49.551834,96783200
2019-04-22,50.707500,51.235001,50.584999,51.132500,49.714695,77758000
2019-04-23,51.107498,51.937500,50.974998,51.869999,50.431732,93292000
2019-04-24,51.840000,52.119999,51.762501,51.790001,50.353958,70162400
2019-04-25,51.707500,51.939999,51.279999,51.320000,49.896984,74172800
2019-04-26,51.224998,51.250000,50.529999,51.075001,49.658783,74596400
2019-04-29,51.099998,51.492500,50.965000,51.152500,49.734127,88818800
2019-04-30,50.764999,50.849998,49.777500,50.167500,48.776440,186139600
2019-05-01,52.470001,53.827499,52.307499,52.630001,51.170670,259309200
2019-05-02,52.459999,53.162498,52.032501,52.287498,50.837662,127985200
2019-05-03,52.722500,52.959999,52.557499,52.937500,51.469631,83569600
2019-05-06,51.072498,52.209999,50.875000,52.119999,50.674809,129772400
2019-05-07,51.470001,51.855000,50.207500,50.715000,49.308762,155054800
2019-05-08,50.474998,51.334999,50.437500,50.724998,49.318485,105358000
2019-05-09,50.099998,50.419998,49.165001,50.180000,48.788593,139634400
2019-05-10,49.355000,49.712502,48.192501,49.294998,48.112717,164834800
2019-05-13,46.927502,47.369999,45.712502,46.430000,45.316425,229722400
2019-05-14,46.602501,47.424999,46.352501,47.165001,46.033798,146118800
2019-05-15,46.567501,47.937500,46.505001,47.730000,46.585243,106178800
2019-05-16,47.477501,48.117500,47.209999,47.520000,46.380283,132125600
2019-05-17,46.732498,47.724998,46.689999,47.250000,46.116764,131516400
2019-05-20,45.880001,46.087502,45.070000,45.772499,44.674690,154449200
2019-05-21,46.305000,47.000000,46.174999,46.650002,45.531151,113459200
2019-05-22,46.165001,46.427502,45.637501,45.695000,44.599052,118994400
2019-05-23,44.950001,45.134998,44.452499,44.915001,43.837765,146118800
2019-05-24,45.049999,45.535000,44.654999,44.742500,43.669392,94858800
2019-05-28,44.730000,45.147499,44.477501,44.557499,43.488834,111792800
2019-05-29,44.105000,44.837502,44.000000,44.345001,43.281437,113924800
2019-05-30,44.487499,44.807499,44.167500,44.575001,43.505913,84873600
2019-05-31,44.057499,44.497501,43.747501,43.767502,42.717781,108174400
2019-06-03,43.900002,44.480000,42.567501,43.325001,42.285892,161584400
2019-06-04,43.860001,44.957500,43.630001,44.910000,43.832882,123872000
2019-06-05,46.070000,46.247501,45.285000,45.634998,44.540485,119093600
2019-06-06,45.770000,46.367500,45.537498,46.305000,45.194416,90105200
2019-06-07,46.627499,47.980000,46.442501,47.537498,46.397362,122737600
2019-06-10,47.952499,48.842499,47.904999,48.145000,46.990292,104883600
2019-06-11,48.715000,49.000000,48.400002,48.702499,47.534424,107731600
2019-06-12,48.487499,48.992500,48.347500,48.547501,47.383133,73012800
2019-06-13,48.674999,49.197498,48.400002,48.537498,47.373379,86698400
2019-06-14,47.887501,48.397499,47.575001,48.185001,47.029327,75046000
2019-06-17,48.224998,48.740002,48.042500,48.472500,47.309929,58676400
2019-06-18,49.012501,50.072498,48.802502,49.612499,48.422592,106204000
2019-06-19,49.919998,49.970001,49.327499,49.467499,48.281067,84496800
2019-06-20,50.092499,50.152500,49.507500,49.865002,48.669033,86056000
2019-06-21,49.700001,50.212502,49.537498,49.695000,48.503120,191202400
2019-06-24,49.634998,50.040001,49.542500,49.645000,48.454315,72881600
2019-06-25,49.607498,49.814999,48.822498,48.892502,47.719868,84281200
2019-06-26,49.442501,50.247501,49.337502,49.950001,48.752007,104270000
2019-06-27,50.072498,50.392502,49.892502,49.935001,48.737362,83598800
2019-06-28,49.669998,49.875000,49.262501,49.480000,48.293266,124442400
2019-07-01,50.792500,51.122501,50.162498,50.387501,49.179005,109012000
2019-07-02,50.352501,50.782501,50.340000,50.682499,49.466930,67740800
2019-07-03,50.820000,51.110001,50.672501,51.102501,49.876858,45448000
2019-07-05,50.837502,51.270000,50.724998,51.057499,49.832939,69062000
2019-07-08,50.202499,50.349998,49.602501,50.005001,48.805679,101354400
2019-07-09,49.799999,50.377499,49.702499,50.310001,49.103371,82312000
2019-07-10,50.462502,50.932499,50.389999,50.807499,49.588936,71588400
2019-07-11,50.827499,51.097500,50.427502,50.437500,49.227806,80767200
2019-07-12,50.612499,51.000000,50.549999,50.825001,49.606014,70380800
2019-07-15,51.022499,51.467499,51.000000,51.302502,50.072063,67789600
2019-07-16,51.147499,51.527500,50.875000,51.125000,49.898823,67467200
2019-07-17,51.012501,51.272499,50.817501,50.837502,49.618217,56430000
2019-07-18,51.000000,51.470001,50.924999,51.415001,50.181862,74162400
2019-07-19,51.447498,51.625000,50.590000,50.647499,49.432770,83717200
2019-07-22,50.912498,51.807499,50.902500,51.805000,50.562515,89111600
2019-07-23,52.115002,52.227501,51.822498,52.209999,50.957798,73420800
2019-07-24,51.917500,52.287498,51.792500,52.167500,50.916313,59966400
2019-07-25,52.222500,52.310001,51.682499,51.755001,50.513710,55638400
2019-07-26,51.869999,52.432499,51.785000,51.935001,50.689392,70475600
2019-07-29,52.115002,52.660000,52.110001,52.419998,51.162758,86693600
2019-07-30,52.189999,52.540001,51.827499,52.195000,50.943161,135742800
2019-07-31,54.105000,55.342499,52.825001,53.259998,51.982613,277125600
2019-08-01,53.474998,54.507500,51.685001,52.107498,50.857758,216071600
2019-08-02,51.382500,51.607498,50.407501,51.005001,49.781700,163448400
2019-08-05,49.497501,49.662498,48.145000,48.334999,47.175728,209572000
2019-08-06,49.077499,49.517502,48.509998,49.250000,48.068794,143299200
2019-08-07,48.852501,49.889999,48.455002,49.759998,48.566555,133457600
2019-08-08,50.049999,50.882500,49.847500,50.857498,49.637737,108038000
2019-08-09,50.325001,50.689999,49.822498,50.247501,49.228699,98478800
2019-08-12,49.904999,50.512501,49.787498,50.119999,49.103786,89927600
2019-08-13,50.255001,53.035000,50.119999,52.242500,51.183254,188874000
2019-08-14,50.790001,51.610001,50.647499,50.687500,49.659779,146189600
2019-08-15,50.865002,51.285000,49.917500,50.435001,49.412403,108909600
2019-08-16,51.070000,51.790001,50.959999,51.625000,50.578266,110481600
2019-08-19,52.654999,53.182499,52.507500,52.587502,51.521259,97654400
2019-08-20,52.720001,53.337502,52.580002,52.590000,51.523708,107537200
2019-08-21,53.247501,53.412498,52.900002,53.160000,52.082146,86141600
2019-08-22,53.297501,53.610001,52.687500,53.115002,52.038063,89014800
2019-08-23,52.357498,53.012501,50.250000,50.660000,49.632835,187272000
2019-08-26,51.465000,51.797501,51.264999,51.622501,50.575825,104174400
2019-08-27,51.965000,52.137501,50.882500,51.040001,50.005138,103493200
2019-08-28,51.025002,51.430000,50.830002,51.382500,50.340687,63755200
2019-08-29,52.125000,52.330002,51.665001,52.252499,51.193050,83962000
2019-08-30,52.540001,52.612499,51.799999,52.185001,51.126915,84573600
