,dt,o,h,l,c
73,2020-01-02 12:30:00,7156.17630367,7159.57526336,7144.81604168,7158.643536
74,2020-01-02 13:00:00,7159.7752634,7163.58535889,7143.77470901,7144.87849522
75,2020-01-02 13:30:00,7145.33038833,7145.33038833,7104.891342,7130.73405823
76,2020-01-02 14:00:00,7131.6450651,7142.49443649,7124.95073,7135.51559813
77,2020-01-02 14:30:00,7132.74535601,7161.29368734,7131.2985653,7134.89401334
78,2020-01-02 15:00:00,7136.884257,7153.28242506,7125.0,7126.2515928
79,2020-01-02 15:30:00,7126.4014765,7135.98382745,7118.375531,7132.03366899
80,2020-01-02 16:00:00,7129.87446403,7146.09123681,7109.48700981,7115.220952
81,2020-01-02 16:30:00,7115.66369039,7126.03196831,7012.65100306,7053.33
82,2020-01-02 17:00:00,7055.22309596,7055.22309596,6933.79000002,6961.53316524
83,2020-01-02 17:30:00,6950.9956014,6985.53897226,6950.26952007,6971.826708
84,2020-01-02 18:00:00,6971.998826,6978.949502,6952.5,6965.60000011
85,2020-01-02 18:30:00,6965.862935,6991.50398471,6958.30318398,6974.08600006
86,2020-01-02 19:00:00,6977.71267001,6987.99999999,6959.61480742,6971.45700672
87,2020-01-02 19:30:00,6974.717392,6996.26924661,6969.37874529,6984.59590235
88,2020-01-02 20:00:00,6982.73511102,6984.59590218,6942.30000001,6951.69729985
89,2020-01-02 20:30:00,6951.374811,6974.2124328,6946.81396999,6950.65789899
90,2020-01-02 21:00:00,6950.05789899,6969.7277559,6949.71574308,6967.29
91,2020-01-02 21:30:00,6967.29,6984.89111455,6960.99852028,6978.55145115
92,2020-01-02 22:00:00,6974.328811,6977.66864365,6963.28657236,6966.35465618
93,2020-01-02 22:30:00,6967.595966,6976.40206471,6963.5455509,6974.54619098
94,2020-01-02 23:00:00,6974.54619088,6975.36434345,6951.28027435,6964.01562506
95,2020-01-02 23:30:00,6961.73430599,6973.34484444,6957.74004567,6965.96577138
96,2020-01-03 00:00:00,6964.86861392,6966.56435015,6946.63983261,6954.90305938
97,2020-01-03 00:30:00,6954.90305938,6956.84335184,6912.95311525,6937.83099861
98,2020-01-03 01:00:00,6937.83099861,6947.87824663,6932.24777024,6936.03861898
99,2020-01-03 01:30:00,6936.03861886,6937.55053615,6877.710376,6885.86237397
100,2020-01-03 02:00:00,6886.06237399,6946.80772798,6870.86130202,6942.949387
101,2020-01-03 02:30:00,6942.87995732,6964.84516198,6939.27195402,6957.55089849
102,2020-01-03 03:00:00,6956.22228336,6965.57418,6947.20000002,6956.42300222
103,2020-01-03 03:30:00,6957.686384,6957.857815,6939.87076675,6948.24192385
104,2020-01-03 04:00:00,6950.09155639,7044.69604928,6950.09155639,7021.90567595
105,2020-01-03 04:30:00,7024.60110899,7265.0,7005.38,7209.75420566
106,2020-01-03 05:00:00,7217.69999872,7257.0,7168.61897446,7178.49999998
107,2020-01-03 05:30:00,7173.76107716,7230.95066313,7173.76107711,7220.559908
108,2020-01-03 06:00:00,7220.99999999,7223.56940523,7181.82522998,7196.292402
109,2020-01-03 06:30:00,7197.60276907,7218.54600866,7190.00000027,7202.72666819
110,2020-01-03 07:00:00,7202.10168108,7234.93947708,7194.0,7221.60673301
111,2020-01-03 07:30:00,7221.6235705,7230.0309191,7186.88070684,7201.98927806
112,2020-01-03 08:00:00,7202.70863778,7227.99999989,7202.70863778,7215.07763445
113,2020-01-03 08:30:00,7216.48128455,7292.90715364,7214.87483141,7260.17010063
114,2020-01-03 09:00:00,7255.12708593,7330.73895812,7250.58407146,7307.54535705
115,2020-01-03 09:30:00,7312.2924242,7358.06563045,7297.78430832,7342.58485056
116,2020-01-03 10:00:00,7346.14242527,7367.24535067,7320.0,7330.225197
117,2020-01-03 10:30:00,7329.47562857,7341.23209596,7286.53509002,7313.00689111
118,2020-01-03 11:00:00,7313.00689111,7339.48999999,7306.81597444,7326.53020804
119,2020-01-03 11:30:00,7326.71520186,7344.50457199,7314.62122052,7338.28021069
120,2020-01-03 12:00:00,7339.6227,7353.52381236,7318.28847065,7335.95902273
121,2020-01-03 12:30:00,7336.63308795,7337.30715319,7306.37565904,7322.0082121
122,2020-01-03 13:00:00,7322.0082121,7331.38873497,7312.78464359,7330.7486994
123,2020-01-03 13:30:00,7331.20000028,7378.01548687,7320.81981601,7344.60248082
124,2020-01-03 14:00:00,7348.07952386,7360.60561036,7235.32721134,7260.52409124
125,2020-01-03 14:30:00,7260.52409124,7277.17744769,7248.18409191,7255.20796498
126,2020-01-03 15:00:00,7255.20796498,7278.53987082,7253.65760257,7272.38406386
127,2020-01-03 15:30:00,7270.49761855,7324.78676154,7264.98904229,7319.09968799
128,2020-01-03 16:00:00,7318.21490303,7401.74414092,7291.76000002,7365.55063965
129,2020-01-03 16:30:00,7366.80070934,7394.41142681,7337.98790642,7388.32968443
130,2020-01-03 17:00:00,7387.90007099,7402.0,7330.1280134,7360.42133901
131,2020-01-03 17:30:00,7359.85215586,7379.75856869,7350.301306,7351.56451505
132,2020-01-03 18:00:00,7353.34389014,7362.039464,7329.66654001,7352.29678898
133,2020-01-03 18:30:00,7350.583354,7369.99999998,7339.49,7339.74504303
134,2020-01-03 19:00:00,7340.430034,7340.69565298,7280.0,7331.168309
135,2020-01-03 19:30:00,7331.99999999,7346.2388366,7320.37542302,7340.1747672
136,2020-01-03 20:00:00,7343.56972754,7361.01657691,7296.84725492,7324.86955039
137,2020-01-03 20:30:00,7324.06955023,7332.133203,7311.51852577,7316.407424
138,2020-01-03 21:00:00,7319.48088894,7334.78548039,7305.0,7325.67287961
139,2020-01-03 21:30:00,7325.67287961,7329.49999998,7255.20311813,7279.26891173
140,2020-01-03 22:00:00,7279.26891174,7305.93764998,7266.41803567,7266.41803567
141,2020-01-03 22:30:00,7271.22224434,7320.74995645,7260.35392917,7299.10000013
142,2020-01-03 23:00:00,7301.79440198,7346.55853946,7292.05673813,7336.95691092
143,2020-01-03 23:30:00,7336.95691092,7347.13939999,7313.82810367,7344.84012792
144,2020-01-04 00:00:00,7344.65455073,7349.34549052,7311.44442174,7314.50295185
145,2020-01-04 00:30:00,7314.6814602,7314.684459,7289.61686516,7307.5362278
146,2020-01-04 01:00:00,7304.15408005,7310.31833221,7282.97082291,7303.23160987
147,2020-01-04 01:30:00,7303.23160987,7311.99999992,7297.26788156,7306.85903361
148,2020-01-04 02:00:00,7310.54836801,7314.37519822,7298.0940398,7303.10050182
149,2020-01-04 02:30:00,7303.20050183,7331.48047575,7295.77827327,7330.11999999
150,2020-01-04 03:00:00,7328.19252792,7339.31296634,7319.04939313,7322.9821901
151,2020-01-04 03:30:00,7321.44109501,7337.7983382,7318.49285751,7332.47792248
152,2020-01-04 04:00:00,7332.81688371,7333.15584494,7312.36104595,7326.03878876
153,2020-01-04 04:30:00,7326.03878876,7338.93332199,7323.84047787,7335.3380221
154,2020-01-04 05:00:00,7334.12362713,7350.0,7325.26087865,7344.98885328
155,2020-01-04 05:30:00,7343.67247401,7367.62875163,7338.87178592,7344.27438462
156,2020-01-04 06:00:00,7343.37441645,7366.11905577,7340.11541553,7359.56097496
157,2020-01-04 06:30:00,7359.17073118,7359.46551811,7340.54861431,7355.3852948
158,2020-01-04 07:00:00,7355.152387,7365.89019515,7329.95488429,7329.95488429
159,2020-01-04 07:30:00,7331.27293857,7353.49245276,7327.898496,7347.09817619
160,2020-01-04 08:00:00,7347.09817618,7349.8610625,7330.9846388,7347.60398361
161,2020-01-04 08:30:00,7345.34690509,7362.89651942,7344.00000004,7345.07202544
162,2020-01-04 09:00:00,7345.07202551,7348.37214942,7337.88229339,7346.65585485
163,2020-01-04 09:30:00,7346.11873514,7369.40163346,7342.80359076,7361.60179786
164,2020-01-04 10:00:00,7364.12307984,7368.02039693,7348.19246781,7361.29887671
165,2020-01-04 10:30:00,7363.46660802,7364.78054046,7308.84154199,7317.85364069
166,2020-01-04 11:00:00,7313.60744853,7338.33106024,7302.36104595,7324.929313
167,2020-01-04 11:30:00,7323.34507691,7340.0,7318.89889001,7338.02772449
168,2020-01-04 12:00:00,7337.73278132,7340.0,7316.51592052,7326.374126
169,2020-01-04 12:30:00,7326.99999999,7330.43983773,7304.01318002,7313.60624379
170,2020-01-04 13:00:00,7310.72619019,7326.14079601,7302.12233646,7309.84552224
171,2020-01-04 13:30:00,7310.10311487,7315.78918412,7290.96836138,7301.77223688
172,2020-01-04 14:00:00,7302.60474872,7317.55945978,7293.66651803,7310.09407499
173,2020-01-04 14:30:00,7308.90606426,7324.14048455,7307.71805344,7316.590756
174,2020-01-04 15:00:00,7316.59075599,7332.66853766,7302.36378613,7327.72640369
175,2020-01-04 15:30:00,7327.23010669,7332.51178809,7314.79058581,7318.9672401
176,2020-01-04 16:00:00,7318.53268471,7324.49999998,7304.28747854,7308.74743983
177,2020-01-04 16:30:00,7308.74743983,7314.50230724,7298.39332721,7308.53753231
178,2020-01-04 17:00:00,7308.53753231,7327.45330534,7304.60237327,7327.45330491
179,2020-01-04 17:30:00,7327.45330534,7349.52044157,7325.85723998,7349.52044157
180,2020-01-04 18:00:00,7347.55322713,7355.45536077,7331.97881331,7351.41969299
181,2020-01-04 18:30:00,7351.78226913,7403.0402129,7274.12349904,7307.0999999
182,2020-01-04 19:00:00,7306.32932604,7329.86678145,7283.69754281,7318.1153027
183,2020-01-04 19:30:00,7318.1153027,7353.52381239,7312.80650319,7336.79243309
184,2020-01-04 20:00:00,7336.79243308,7351.49465699,7312.80650319,7339.23348492
185,2020-01-04 20:30:00,7337.99431366,7350.0,7332.72341241,7340.36700744
186,2020-01-04 21:00:00,7344.32459684,7354.49521125,7330.10402977,7348.66884881
187,2020-01-04 21:30:00,7348.6688488,7366.72582569,7341.72684111,7352.0048234
188,2020-01-04 22:00:00,7349.84840682,7365.3744841,7341.98367129,7344.58836591
189,2020-01-04 22:30:00,7349.37863342,7359.74371881,7343.75190618,7351.0
190,2020-01-04 23:00:00,7347.94624495,7354.94528131,7328.22728098,7336.34185929
191,2020-01-04 23:30:00,7336.3418593,7362.45266038,7331.57817942,7352.47412649
192,2020-01-05 00:00:00,7353.49967084,7393.03258801,7352.16254625,7380.86715119
193,2020-01-05 00:30:00,7380.76715118,7386.12013575,7360.09581607,7374.37612361
194,2020-01-05 01:00:00,7374.17612362,7464.28805483,7374.13806182,7455.78667256
195,2020-01-05 01:30:00,7455.78667256,7479.0,7428.4170106,7458.02870567
196,2020-01-05 02:00:00,7458.02870565,7480.17,7431.14017844,7443.45739626
197,2020-01-05 02:30:00,7446.17865566,7460.76231448,7437.8498862,7443.69318176
