t,o,h,l,c,v
1577926800000,7210.42984281,7210.42984282,7188.42717113,7191.85415895,9.69949348
1577928600000,7191.75415895,7195.10354939,7184.9603723,7192.86729926,7.50322079
1577930400000,7189.84656218,7191.68365793,7154.71401105,7165.648805,65.59697888
1577932200000,7164.64178025,7175.57157304,7152.21871498,7169.47871652,248.29948602
1577934000000,7169.568252,7169.568252,7151.95400005,7158.04211399,222.26490825
1577935800000,7158.04211399,7164.35796271,7123.0,7126.022158,328.04480589
1577937600000,7126.12980529,7160.6557575,7102.14192925,7145.91402993,266.46461304
1577939400000,7146.35701496,7154.56873349,7130.20000007,7143.72934397,167.07074758
1577941200000,7142.67897718,7154.19999977,7133.75993728,7141.0495037,97.40966509
1577943000000,7141.0495037,7148.89999968,7127.1534354,7137.89773144,106.62755956
1577944800000,7138.24829851,7148.74252363,7134.71225914,7147.96610344,88.4812604
1577946600000,7147.96610344,7148.91053,7122.79655098,7134.55168744,112.03446448
1577948400000,7136.01272936,7141.34588809,7105.15470858,7111.00064508,86.39963039
1577950200000,7110.0,7129.20917923,7107.11105259,7109.85399571,8.87115298
1577952000000,7108.81467544,7146.08653351,7108.67213692,7132.13432904,6.76258285
1577953800000,7131.31391752,7154.80499989,7129.25986328,7154.69100719,7.9865181
1577955600000,7153.56835059,7154.41946027,7140.88348027,7143.140515,10.93834695
1577957400000,7142.90000003,7162.71521809,7137.14927701,7161.977731,7.70431317
1577959200000,7162.17436491,7179.89999983,7158.74806519,7177.68797319,121.50330174
1577961000000,7177.68797319,7182.41984385,7155.6890201,7160.37517305,148.46874787
1577962800000,7160.37517305,7170.62262934,7145.29481373,7148.19500308,190.60508789
1577964600000,7148.9060648,7156.10815877,7138.86693594,7141.05402739,138.60406313
1577966400000,7142.66547985,7167.52337067,7137.69411432,7158.09488861,57.63018092
1577968200000,7156.17630367,7159.57526336,7144.81604168,7158.643536,30.19188913
1577970000000,7159.7752634,7163.58535889,7143.77470901,7144.87849522,38.83693214
1577971800000,7145.33038833,7145.33038833,7104.891342,7130.73405823,86.57066228
1577973600000,7131.6450651,7142.49443649,7124.95073,7135.51559813,18.16772195
1577975400000,7132.74535601,7161.29368734,7131.2985653,7134.89401334,11.94553125
1577977200000,7136.884257,7153.28242506,7125.0,7126.2515928,6.77220659
1577979000000,7126.4014765,7135.98382745,7118.375531,7132.03366899,9.92527241
1577980800000,7129.87446403,7146.09123681,7109.48700981,7115.220952,27.79932719
