t,o,h,l,c,v
1609786800000,31176.5,31887.0,31126.5,31679.5,1367.801
1609790400000,31679.5,31849.5,31250.5,31293.5,667.484
1609794000000,31293.5,31595.5,30906.0,31041.0,947.252
1609797600000,31041.0,31485.0,30990.5,31366.5,853.008
1609801200000,31366.5,32043.5,31188.0,32024.0,1822.859
1609804800000,32024.0,32847.5,32024.0,32443.5,2602.284
1609808400000,32443.5,32800.0,32297.0,32796.5,1141.208
1609812000000,32796.5,32829.5,32272.5,32356.5,1031.986
1609815600000,32356.5,32559.5,31185.0,31240.0,2632.715
1609819200000,31240.0,31590.5,30484.5,30914.0,2182.98
1609822800000,30914.0,31408.5,30004.0,30435.5,2792.83
1609826400000,30435.5,31268.5,29905.5,31129.5,2649.956
1609830000000,31129.5,31314.0,30779.0,30830.5,974.75
1609833600000,30830.5,31520.0,30830.0,31219.0,1291.106
1609837200000,31219.0,31822.0,31204.0,31571.5,975.763
1609840800000,31571.5,31678.5,31105.5,31317.5,1196.375
1609844400000,31317.5,31733.5,31283.0,31733.5,849.06
1609848000000,31733.5,32030.0,31550.0,31570.0,1029.029
1609851600000,31570.0,31871.0,31450.0,31465.0,783.696
1609855200000,31465.0,32360.0,31114.5,32287.0,1871.277
1609858800000,32287.0,32333.0,31889.0,32069.0,709.847
1609862400000,32069.0,32691.0,31762.0,32455.0,1677.093
1609866000000,32455.0,32807.0,32255.0,32751.5,770.508
1609869600000,32751.5,33423.5,32677.0,33358.5,2092.969
1609873200000,33358.5,34222.0,33129.5,33717.5,3157.768
1609876800000,33717.5,34069.5,33364.5,34023.5,2662.128
1609880400000,34023.5,34051.0,33540.5,33744.0,1147.511
1609884000000,33744.0,34496.5,33743.5,34279.0,1696.143
1609887600000,34279.0,34350.5,33731.0,34019.5,1463.611
1609891200000,34019.5,34180.0,33364.5,33960.5,1375.459
1609894800000,33960.5,34045.5,33540.5,33824.5,847.426
1609898400000,33824.5,34145.0,33779.5,33883.0,870.871
1609902000000,33883.0,34175.0,33673.0,34160.0,691.024
1609905600000,34160.0,35867.0,34140.0,35389.5,4719.971
1609909200000,35389.5,35663.5,34618.5,35073.5,1148.126
1609912800000,35073.5,35320.0,34868.5,35226.0,593.378
1609916400000,35226.0,35357.0,34400.0,34744.5,1523.2
1609920000000,34744.5,35022.5,34036.5,34595.0,2100.754
1609923600000,34595.0,34595.0,33623.5,33972.0,2420.443
1609927200000,33972.0,34600.0,33904.5,34492.0,769.18
1609930800000,34492.0,35338.0,34412.5,35017.0,2161.812
1609934400000,35017.0,35181.0,34601.0,35043.0,1338.343
1609938000000,35043.0,35193.0,34443.5,34682.0,1211.939
1609941600000,34682.0,34692.0,34184.0,34293.5,1111.831
1609945200000,34293.5,34868.0,34235.0,34646.5,482.278
1609948800000,34646.5,35161.0,34410.0,34664.0,1189.207
1609952400000,34664.0,35139.5,34604.0,34958.0,538.67
1609956000000,34958.0,35252.0,34958.0,35243.0,789.394
1609959600000,35243.0,35763.0,34730.5,34908.5,1756.592
1609963200000,34908.5,36345.0,34375.5,36111.0,3814.329
1609966800000,36111.0,36661.0,35740.5,35948.5,2060.774
1609970400000,35948.5,36420.0,35784.0,36044.5,581.373
1609974000000,36044.5,37027.5,36022.5,36775.5,1346.134
1609977600000,36775.5,37395.5,36490.0,37183.5,2055.693
1609981200000,37183.5,37264.0,36696.0,36917.0,884.361
1609984800000,36917.0,37105.0,36567.0,37011.0,772.471
1609988400000,37011.0,37739.5,36985.5,37537.0,1005.789
1609992000000,37537.0,37609.5,37148.0,37496.0,563.35
1609995600000,37496.0,37724.5,37210.0,37345.0,671.024
1609999200000,37345.0,37436.0,36702.0,37131.5,930.365
1610002800000,37131.5,37294.5,36723.0,36842.0,1391.773
1610006400000,36842.0,37344.5,36301.0,37228.0,1768.941
1610010000000,37228.0,37509.5,36941.5,37500.0,889.968
1610013600000,37500.0,37505.0,36966.0,37072.5,832.176
1610017200000,37072.5,38049.0,37072.5,37936.0,1117.217
1610020800000,37936.0,38234.5,37609.0,38028.0,2229.52
1610024400000,38028.0,38491.0,37962.0,38254.5,880.345
1610028000000,38254.5,38710.5,38169.5,38507.5,1112.888
1610031600000,38507.5,39040.0,38180.0,39040.0,972.11
1610035200000,39040.0,39686.0,39040.0,39238.0,1881.102
1610038800000,39238.0,39921.5,39234.5,39869.5,1367.781
1610042400000,39869.5,40560.5,36801.0,39089.0,10434.181
1610046000000,39089.0,39366.0,37722.0,39200.5,4252.424
1610049600000,39200.5,39300.0,38482.5,39219.0,1455.38
1610053200000,39219.0,39996.0,39219.0,39804.0,2190.415
1610056800000,39804.0,40100.0,39251.0,39765.5,1130.535
1610060400000,39765.5,39773.0,38680.0,39513.0,1850.253
1610064000000,39513.0,39786.0,38874.5,38874.5,712.437
1610067600000,38874.5,39060.0,37856.0,38668.5,2179.672
1610071200000,38668.5,38684.5,36524.5,37144.0,3934.267
1610074800000,37144.0,38380.5,37066.5,38280.5,1146.055
1610078400000,38280.5,38838.0,38100.0,38606.5,534.803
1610082000000,38606.5,38622.5,37850.0,37929.5,614.446
1610085600000,37929.5,38611.0,37525.5,38490.0,849.578
1610089200000,38490.0,39068.5,38251.0,38841.0,880.007
1610092800000,38841.0,38930.5,38391.5,38599.5,764.146
1610096400000,38599.5,39325.0,38217.0,39325.0,893.429
1610100000000,39325.0,41161.5,39194.0,40748.0,2357.311
1610103600000,40748.0,41555.0,40463.0,41387.5,2982.874
1610107200000,41387.5,41880.0,40903.0,41359.5,2102.476
1610110800000,41359.5,41726.0,40787.0,41395.0,1412.1
1610114400000,41395.0,41636.0,41075.0,41583.5,751.883
1610118000000,41583.5,42100.0,39814.0,40908.5,5393.293
1610121600000,40908.5,41650.5,40464.0,41359.5,1460.004
1610125200000,41359.5,41598.5,40933.0,41078.0,1662.526
1610128800000,41078.0,41202.0,39824.0,39980.0,1859.995
1610132400000,39980.0,40770.0,39972.5,40432.0,877.285
1610136000000,40432.0,40549.5,38988.5,39142.0,5030.529
1610139600000,39142.0,40132.0,38738.0,40129.0,2145.244
1610143200000,40129.0,40892.0,39846.0,40752.5,1359.933
1610146800000,40752.5,41014.0,40564.5,40641.5,577.014
1610150400000,40641.5,41040.5,40077.0,40381.5,941.305
1610154000000,40381.5,40392.5,39877.5,40255.0,718.554
1610157600000,40255.0,40626.0,39584.0,40035.0,669.564
1610161200000,40035.0,40433.5,39811.0,40287.0,483.033
1610164800000,40287.0,40542.0,39886.0,40296.5,699.524
1610168400000,40296.5,40296.5,39226.0,39348.5,1185.958
1610172000000,39348.5,39658.0,38950.0,38968.0,1159.731
1610175600000,38968.0,39673.5,38726.5,39629.5,1040.452
1610179200000,39629.5,40279.0,39300.0,40196.5,829.781
1610182800000,40196.5,40841.0,40196.5,40384.0,785.202
1610186400000,40384.0,40775.0,40165.5,40461.0,715.855
1610190000000,40461.0,41355.0,40345.0,40649.5,1645.812
1610193600000,40649.5,40973.0,40494.0,40934.0,1101.429
1610197200000,40934.0,41299.5,40766.0,41117.0,940.921
1610200800000,41117.0,41475.5,40772.5,40885.0,949.072
1610204400000,40885.0,41012.0,40271.5,40582.0,1710.471
1610208000000,40582.0,40701.0,39928.0,40070.5,2344.948
1610211600000,40070.5,40648.0,40070.5,40466.5,786.398
1610215200000,40466.5,40822.0,40466.5,40673.0,776.598
1610218800000,40673.0,40917.0,40518.5,40708.5,696.406
1610222400000,40708.5,40807.5,40100.0,40662.5,1267.942
1610226000000,40662.5,40822.0,40546.5,40785.5,548.903
1610229600000,40785.5,40807.5,40142.5,40280.0,1386.699
